Species,Product ID,Product Name,Category,Current Price,Current ASIN,Amazon URL or ASIN (Fill This),Image urls
Betta Fish,aquasoil,Active Plant Soil Dark (4.4lbs),substrates,17.99,,https://www.amazon.com/dp/B00JGQIY48?tag=habitatbuilde-20,h
Betta Fish,plastic,Plastic Plants,decor,8.99,,https://www.amazon.com/dp/B0CYGF1CTG?tag=habitatbuilde-20,h
Betta Fish,silk,Silk Plants,decor,13.99,,https://www.amazon.com/dp/B0D3HG18HJ?tag=habitatbuilde-20,h
Betta Fish,live_easy,Live Plants (Anubias/Java Fern),decor,17.99,,https://www.amazon.com/dp/B0DNNN5VD2?tag=habitatbuilde-20,h
Betta Fish,betta_log,Floating Betta Log,decor,7.99,,https://www.amazon.com/dp/B0027ITKBS?tag=habitatbuilde-20,h
Betta Fish,driftwood,"Natural Driftwood 3 pcs (6-10"") Large",decor,22.99,,https://www.amazon.com/dp/B08XYSWBBB?tag=habitatbuilde-20,h
Betta Fish,driftwood,"Natural Driftwood 4 pcs (4-6"") Small",decor,13.44,,https://www.amazon.com/dp/B0CW37TK7C?tag=habitatbuilde-20,h
Betta Fish,conditioner,Water Conditioner (Dechlorinator),watercare,17.99,,https://www.amazon.com/dp/B077MFZRVN?tag=habitatbuilde-20,h
Betta Fish,bacteria,Beneficial Bacteria Starter,watercare,15.98,,https://www.amazon.com/dp/B00176ENNG?tag=habitatbuilde-20,h
Betta Fish,testkit,Master Test Kit,watercare,32.99,,https://www.amazon.com/dp/B000255NCI?tag=habitatbuilde-20,h
Leopard Gecko,10g,10 Gallon Tank,enclosures,65.99,,https://www.amazon.com/dp/B09MQBB6CP?tag=habitatbuilde-20,h
Leopard Gecko,15g,15 Gallon Tank,enclosures,105.99,,https://www.amazon.com/dp/B0C8CG8NX3?tag=habitatbuilde-20,h
Leopard Gecko,20g,20 Gallon Long,enclosures,155.98,,https://www.amazon.com/dp/B0D3KPYCQ9?tag=habitatbuilde-20,h
Leopard Gecko,35g,35 Gallon Breeder,enclosures,191.81,,https://www.amazon.com/dp/B0922CCQFK?tag=habitatbuilde-20,h
Leopard Gecko,40g,40 Gallon Breeder,enclosures,259,,https://www.amazon.com/dp/B09QKHHXSH?tag=habitatbuilde-20,h
Leopard Gecko,pvc4x2,4x2x2 PVC Enclosure (120 gallon),enclosures,343.85,,https://www.amazon.com/dp/B0BQP7S859?tag=habitatbuilde-20,h
Leopard Gecko,heatmat,Under Tank Heater (Mat) (10-20 gallon),heating,15.99,,https://www.amazon.com/dp/B08C98KNWR?tag=habitatbuilde-20,h
Leopard Gecko,heatmat,Under Tank Heater (Mat) (30-40 gallon),heating,19.99,,https://www.amazon.com/dp/B08C93ZGPJ?tag=habitatbuilde-20,h
Leopard Gecko,halogen,Halogen Flood Lamp (2 pack - 50W) 20 gallon tank,heating,17.99,,https://www.amazon.com/dp/B0C36H72BH?tag=habitatbuilde-20,h
Leopard Gecko,halogen,Halogen Flood Lamp (2 pack - 75W) 40 Gallon tank,heating,15.99,,https://www.amazon.com/dp/B0B55T7946?tag=habitatbuilde-20,h
Leopard Gecko,halogen,Halogen Flood Lamp (2 pack - 100W) 120 Gallon Tank,heating,15.99,,https://www.amazon.com/dp/B0B55TLWFD?tag=habitatbuilde-20,h
Leopard Gecko,dhp,Deep Heat Projector (DHP) (2 pack) 50W 20 Gallon Tank,heating,15.99,,https://www.amazon.com/dp/B096TSBBZZ?tag=habitatbuilde-20,h
Leopard Gecko,dhp,Deep Heat Projector (DHP) (2 pack) 75W 40 Gallon Tank,heating,15.99,,https://www.amazon.com/dp/B096TTB7B3?tag=habitatbuilde-20,h
Leopard Gecko,dhp,Deep Heat Projector (DHP) (2 pack) 100W 120 Gallon Tank,heating,16.99,,https://www.amazon.com/dp/B096TS3YN3?tag=habitatbuilde-20,h
Leopard Gecko,thermostat,Digital Thermostat and Heat Mat Controller,heating,20.99,,https://www.amazon.com/dp/B01I15S6OM?tag=habitatbuilde-20,h
Leopard Gecko,uvb,"ShadeDweller UVB Kit (8W, 12 inch) 20 Gallon Tank",heating,29.89,,https://www.amazon.com/dp/B0BPSP5HMY?tag=habitatbuilde-20,h
Leopard Gecko,uvb,"ShadeDweller UVB Kit (24W, 22 inch) 40 Gallon Tank",heating,41.09,,https://www.amazon.com/dp/B0BLVLTFZN?tag=habitatbuilde-20,h
Leopard Gecko,uvb,"ShadeDweller UVB Kit (39W, 34 inch) 120 Gallon Tank",heating,49.99,,https://www.amazon.com/dp/B0BPSM1X5N?tag=habitatbuilde-20,h
Leopard Gecko,slate,Slate Tile / Stone 6 in x 6 in (Square) 20 Gallon Tank,substrates,7.99,,https://www.amazon.com/dp/B0FR4PYMVW?tag=habitatbuilde-20,h
Leopard Gecko,slate,Slate Tile / Stone 11.8 in x 5.9 in (Rectangle) 40 Gallon Tank,substrates,14.99,,https://www.amazon.com/dp/B0947QGS7R?tag=habitatbuilde-20,h
Leopard Gecko,slate,Slate Tile / Stone 15.7 in x 9.8 in (Rectangle) 120 Gallon Tank,substrates,19.99,,https://www.amazon.com/dp/B09H78CYNG?tag=habitatbuilde-20,h
Leopard Gecko,liner,Reptile Carpet (20 Gallon Tank),substrates,18.99,,https://www.amazon.com/dp/B07YJH46Y3?tag=habitatbuilde-20,h
Leopard Gecko,liner,Reptile Carpet (40 Gallon Tank),substrates,25.99,,https://www.amazon.com/dp/B09CYCLP21?tag=habitatbuilde-20,h
Leopard Gecko,topsoil,Organic Topsoil Mix (Cocunut Chips),substrates,27.08,,https://www.amazon.com/dp/B0CRDQH522?tag=habitatbuilde-20,h
Leopard Gecko,excavator,Excavator Clay,substrates,13.99,,https://www.amazon.com/dp/B000N5OM8S?tag=habitatbuilde-20,h
Leopard Gecko,bioactive,BioActive Terra Sahara 18 qts (20-40 Gallon Tanks),substrates,42.95,,https://www.amazon.com/dp/B0CVQR1X6N?tag=habitatbuilde-20,h
Leopard Gecko,bioactive,BioActive Terra Sahara 36 qts (120 Gallon Tanks),substrates,59.95,,https://www.amazon.com/dp/B07Z5CJ573?tag=habitatbuilde-20,h
Leopard Gecko,sand,Reptile Sand (Calcium) (White),substrates,19.99,,https://www.amazon.com/dp/B005J1ORIQ?tag=habitatbuilde-20,h
Leopard Gecko,sand,Reptile Sand (Calcium) (Black),substrates,19.99,,https://www.amazon.com/dp/B00F8DU48W?tag=habitatbuilde-20,h
Leopard Gecko,sand,Reptile Sand (Calcium) (Tan),substrates,18.99,,https://www.amazon.com/dp/B005J1OR72?tag=habitatbuilde-20,h
Leopard Gecko,sand,Reptile Sand (Calcium) (Blue),substrates,19.99,,https://www.amazon.com/dp/B00F8DU3UQ?tag=habitatbuilde-20,h
Leopard Gecko,warmhide,Warm Hide (Cave),hides,14.99,,https://www.amazon.com/dp/B008YDHDD2?tag=habitatbuilde-20,h
Leopard Gecko,coolhide,Cool Hide (Rock),hides,18.49,,https://www.amazon.com/dp/B0DK6D4CWJ?tag=habitatbuilde-20,h
Leopard Gecko,humidhide,Humid Hide (Box),hides,23.99,,https://www.amazon.com/dp/B0F1TVP46X?tag=habitatbuilde-20,h
Leopard Gecko,corkbark,Cork Bark Flat 4 pcs,hides,14.99,,https://www.amazon.com/dp/B0DSP8ZPKP?tag=habitatbuilde-20,h
Leopard Gecko,branches,Climbing Branches 4 pcs (14-16 inches),hides,19.99,,https://www.amazon.com/dp/B0CLY5WZ4S?tag=habitatbuilde-20,h
Leopard Gecko,calcium_no_d3,Pure Calcium (No D3),supplements,5.99,,https://www.amazon.com/dp/B001OROQ8U?tag=habitatbuilde-20,h
Leopard Gecko,calcium_d3,Calcium + D3,supplements,3.99,,https://www.amazon.com/dp/B0002DHPEO?tag=habitatbuilde-20,h
Leopard Gecko,multivitamin,Reptile Multivitamin,supplements,15.57,,https://www.amazon.com/dp/B0D6CT1Q5Q?tag=habitatbuilde-20,h
